Data,% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate,% Silica Concentrate
2017-03-29 12:00:00,60.18,9.35,1063.45,379.6,400.97,9.53,1.55,200.04,195.57,199.99,295.1,306.41,250.07,249.99,755.38,728.0,862.04,477.46,452.56,478.22,469.82,66.45,1.37
2017-03-29 13:00:00,60.18,9.35,2032.86,322.95,400.47,9.71,1.54,199.99,195.13,199.75,295.1,306.41,250.04,250.07,848.67,777.59,869.45,483.95,469.64,471.67,462.91,66.58,1.43
2017-03-29 14:00:00,60.18,9.35,1426.1,474.89,399.15,9.69,1.65,200.03,195.58,199.93,295.1,306.41,249.97,250.11,852.0,776.32,879.69,455.97,453.18,447.52,453.63,66.64,1.33
2017-03-29 15:00:00,60.18,9.35,616.73,395.13,398.94,9.86,1.56,199.94,195.61,200.06,295.1,306.41,250.0,250.04,855.89,780.4,882.1,449.4,448.52,450.87,448.41,66.4,1.3
2017-03-29 16:00:00,59.54,9.56,1369.26,318.08,400.82,9.94,1.54,199.89,196.25,199.9,295.1,306.41,250.07,250.12,851.58,784.47,884.86,450.22,451.9,451.58,449.39,63.65,5.48
2017-03-29 17:00:00,59.54,9.56,1737.52,411.09,400.06,9.48,1.57,199.91,195.23,200.04,295.1,306.41,250.03,250.07,847.64,803.4,869.17,430.83,452.84,462.76,449.64,66.2,1.64
2017-03-29 18:00:00,59.54,9.56,1640.67,460.34,399.31,9.61,1.63,199.91,195.55,199.87,295.1,306.41,250.0,250.09,856.03,820.44,883.35,336.67,449.69,452.13,449.99,66.27,1.47
2017-03-29 19:00:00,59.54,9.56,1912.08,495.51,399.94,9.56,1.68,199.88,195.57,200.06,295.1,306.41,250.01,250.03,855.87,818.48,883.05,560.4,557.77,518.74,523.61,66.27,1.7
2017-03-29 20:00:00,59.54,9.56,2036.56,500.56,400.49,9.29,1.69,199.9,195.38,199.88,295.1,306.41,250.07,250.02,855.7,816.52,883.04,590.33,601.96,549.18,549.17,64.14,1.81
2017-03-29 21:00:00,59.54,9.56,2212.03,530.73,400.36,9.59,1.73,199.88,195.4,199.91,295.1,306.41,250.02,250.21,855.54,814.56,884.39,588.23,602.88,549.15,552.75,65.88,1.72
