,Data,% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate,% Silica Concentrate
0,2017-03-29 12:00:00,60.18,9.35,1063.45,379.6,400.97,9.53,1.55,200.04,195.57,199.99,295.1,306.41,250.07,249.99,755.38,728.0,862.04,477.46,452.56,478.22,469.82,66.45,1.37
1,2017-03-29 13:00:00,60.18,9.35,2032.86,322.95,400.47,9.71,1.54,199.99,195.13,199.75,295.1,306.41,250.04,250.07,848.67,777.59,869.45,483.95,469.64,471.67,462.91,66.58,1.43
2,2017-03-29 14:00:00,60.18,9.35,1426.1,474.89,399.15,9.69,1.65,200.03,195.58,199.93,295.1,306.41,249.97,250.11,852.0,776.32,879.69,455.97,453.18,447.52,453.63,66.64,1.33
3,2017-03-29 15:00:00,60.18,9.35,616.73,395.13,398.94,9.86,1.56,199.94,195.61,200.06,295.1,306.41,250.0,250.04,855.89,780.4,882.1,449.4,448.52,450.87,448.41,66.4,1.3
4,2017-03-29 16:00:00,59.54,9.56,1369.26,318.08,400.82,9.94,1.54,199.89,196.25,199.9,295.1,306.41,250.07,250.12,851.58,784.47,884.86,450.22,451.9,451.58,449.39,63.65,5.48
5,2017-03-29 17:00:00,59.54,9.56,1737.52,411.09,400.06,9.48,1.57,199.91,195.23,200.04,295.1,306.41,250.03,250.07,847.64,803.4,869.17,430.83,452.84,462.76,449.64,66.2,1.64
6,2017-03-29 18:00:00,59.54,9.56,1640.67,460.34,399.31,9.61,1.63,199.91,195.55,199.87,295.1,306.41,250.0,250.09,856.03,820.44,883.35,336.67,449.69,452.13,449.99,66.27,1.47
7,2017-03-29 19:00:00,59.54,9.56,1912.08,495.51,399.94,9.56,1.68,199.88,195.57,200.06,295.1,306.41,250.01,250.03,855.87,818.48,883.05,560.4,557.77,518.74,523.61,66.27,1.7
8,2017-03-29 20:00:00,59.54,9.56,2036.56,500.56,400.49,9.29,1.69,199.9,195.38,199.88,295.1,306.41,250.07,250.02,855.7,816.52,883.04,590.33,601.96,549.18,549.17,64.14,1.81
9,2017-03-29 21:00:00,59.54,9.56,2212.03,530.73,400.36,9.59,1.73,199.88,195.4,199.91,295.1,306.41,250.02,250.21,855.54,814.56,884.39,588.23,602.88,549.15,552.75,65.88,1.72
10,2017-03-29 22:00:00,59.54,9.56,2003.65,531.85,399.11,9.65,1.73,199.9,196.63,199.93,295.1,306.41,250.04,249.9,855.38,816.54,877.31,580.23,596.84,550.1,544.57,64.7,2.92
11,2017-03-29 23:00:00,59.54,9.56,1812.65,531.02,400.06,9.6,1.73,199.9,195.33,199.97,295.1,306.41,250.0,250.1,855.22,819.43,882.84,581.61,599.27,551.18,548.54,65.86,2.0
12,2017-03-30 00:00:00,59.55,9.56,1974.73,537.16,399.87,9.63,1.74,199.94,195.55,199.82,295.1,306.41,250.06,250.15,856.86,822.36,880.44,548.95,555.78,526.07,521.97,66.35,1.71
13,2017-03-30 01:00:00,60.45,9.19,2048.7,488.43,401.43,9.7,1.68,199.83,195.46,199.83,295.1,306.41,249.16,250.08,854.87,817.05,884.01,477.59,473.71,470.98,464.34,63.39,3.8
14,2017-03-30 02:00:00,60.45,9.19,1906.75,335.64,410.89,9.42,1.54,199.75,195.35,199.97,295.1,306.41,249.74,250.2,855.1,797.74,868.18,452.84,447.53,509.19,234.61,63.39,3.8
15,2017-03-30 03:00:00,60.45,9.19,1861.6,428.05,408.42,9.37,1.63,199.9,195.39,200.06,295.1,306.41,250.0,250.35,847.32,705.28,786.61,460.72,452.98,511.65,267.07,63.4,3.8
16,2017-03-30 04:00:00,60.45,9.19,1917.34,443.21,399.58,9.16,1.6,200.35,195.64,200.1,295.1,306.41,252.17,250.08,851.35,809.87,871.51,468.55,456.18,469.39,463.88,63.91,2.77
17,2017-03-30 05:00:00,60.45,9.19,2159.92,460.43,400.96,9.17,1.64,200.09,195.89,199.95,295.1,306.41,250.24,250.54,857.14,811.94,872.21,477.28,474.4,488.66,476.27,65.69,1.65
18,2017-03-30 06:00:00,60.45,9.19,2051.21,456.38,400.24,9.19,1.62,199.92,195.35,199.88,295.1,306.41,250.05,250.12,832.91,777.53,882.75,466.61,464.4,460.27,458.9,66.05,2.37
19,2017-03-30 07:00:00,61.11,8.24,1490.36,438.85,400.24,9.23,1.59,200.2,195.45,200.05,295.1,306.41,249.98,250.15,844.71,816.64,867.76,477.64,471.65,501.16,469.0,66.34,2.04
20,2017-03-30 08:00:00,61.11,8.24,1331.17,287.52,400.92,8.89,1.53,200.31,195.51,199.81,295.1,306.41,249.64,250.41,857.47,823.26,883.86,452.11,448.96,452.47,448.12,66.27,1.81
21,2017-03-30 09:00:00,61.11,8.24,1751.58,252.53,399.8,8.83,1.53,199.96,195.48,199.92,295.1,306.41,250.19,249.76,846.46,823.88,882.7,449.56,451.46,453.48,454.57,65.69,2.71
22,2017-03-30 10:00:00,61.11,8.24,1172.35,298.33,396.65,9.05,1.53,199.93,195.46,199.95,295.1,306.41,249.8,249.83,852.04,822.98,741.89,480.85,385.25,605.2,425.07,64.62,3.1
23,2017-03-30 11:00:00,61.11,8.24,1975.16,379.38,402.32,9.16,1.56,199.89,195.43,199.94,295.1,306.41,249.72,250.19,850.89,817.88,647.03,463.84,383.77,535.73,363.37,65.03,2.8
24,2017-03-30 12:00:00,61.11,8.24,1022.03,399.32,392.33,9.48,1.55,199.92,195.42,199.95,295.1,306.41,250.04,250.04,849.09,815.46,879.94,377.18,434.44,621.66,497.94,64.99,2.63
25,2017-03-30 13:00:00,61.11,8.24,1866.41,388.18,401.84,9.5,1.59,199.97,196.02,199.95,295.1,306.41,250.05,250.16,851.34,820.97,764.66,363.05,558.29,646.82,436.79,64.99,2.63
26,2017-03-30 14:00:00,61.11,8.24,2300.01,493.99,401.03,9.67,1.66,200.13,195.4,199.9,295.1,306.41,250.05,250.07,856.7,781.81,869.97,459.38,602.75,473.01,578.22,65.0,2.63
27,2017-03-30 15:00:00,61.12,8.25,2629.15,533.76,400.27,9.63,1.73,200.04,195.64,200.04,295.1,306.41,250.06,250.19,858.95,771.73,883.96,449.39,452.73,453.97,460.68,65.77,2.25
28,2017-03-30 16:00:00,61.39,8.41,2840.94,529.5,400.39,9.63,1.73,199.87,195.57,199.93,295.1,306.41,250.03,250.05,858.6,782.78,883.62,450.19,451.97,464.1,330.14,66.06,2.27
29,2017-03-30 17:00:00,61.39,8.41,2426.5,536.96,399.67,9.79,1.74,199.91,194.97,199.96,295.1,306.41,250.01,250.03,857.69,793.83,884.15,550.8,551.94,607.56,600.9,64.88,4.28
30,2017-03-30 18:00:00,61.39,8.41,2518.57,542.95,399.97,9.58,1.74,199.93,195.54,200.14,295.1,306.41,249.97,250.12,856.62,804.89,884.21,550.61,549.37,615.6,596.71,64.43,4.02
31,2017-03-30 19:00:00,61.39,8.41,2207.48,537.03,399.86,9.31,1.74,199.93,195.46,199.93,295.1,306.41,250.06,249.91,855.54,815.94,883.48,549.37,549.2,602.11,598.24,64.46,4.92
32,2017-03-30 20:00:00,61.39,8.41,2569.25,542.87,399.74,9.51,1.74,199.6,195.92,199.95,295.1,306.41,250.04,249.96,854.47,808.81,883.86,550.21,551.5,598.92,599.11,63.51,4.53
33,2017-03-30 21:00:00,61.39,8.41,2289.68,555.5,401.7,9.74,1.76,199.93,195.18,199.85,295.1,306.41,249.98,249.7,853.4,791.13,884.58,525.55,532.44,571.55,568.98,65.07,4.14
34,2017-03-30 22:00:00,61.39,8.41,1822.79,473.96,400.68,9.14,1.67,200.02,195.29,200.24,295.1,306.41,250.02,249.98,847.81,789.75,878.67,470.08,461.04,450.34,451.63,63.8,4.82
35,2017-03-30 23:00:00,61.39,8.41,2530.49,459.07,400.87,8.99,1.63,200.13,195.19,200.08,295.1,306.41,250.09,250.19,820.71,799.59,854.51,452.09,450.96,456.23,445.46,63.83,4.91
36,2017-03-31 00:00:00,61.35,8.47,2587.82,539.07,399.99,9.45,1.74,199.76,195.26,199.84,295.1,306.41,250.05,250.18,800.02,800.92,801.22,451.78,450.04,453.27,452.19,64.54,3.92
37,2017-03-31 01:00:00,54.3,20.14,1056.78,553.27,398.96,9.71,1.76,196.66,198.11,199.87,295.1,306.41,249.33,249.93,801.01,795.9,800.61,446.49,446.65,452.73,449.63,63.78,5.07
38,2017-03-31 02:00:00,54.3,20.14,2078.35,466.66,400.42,9.42,1.62,199.98,195.26,199.99,295.1,306.41,249.95,250.04,801.56,798.78,803.26,448.38,449.24,457.51,451.4,63.46,4.48
39,2017-03-31 03:00:00,54.3,20.14,2178.53,519.06,399.93,9.33,1.71,200.14,194.9,199.91,295.1,306.41,249.99,250.1,800.26,800.01,800.68,443.78,446.59,450.34,447.79,64.54,3.52
40,2017-03-31 04:00:00,54.3,20.14,2297.48,550.15,400.35,9.05,1.75,199.82,194.93,200.04,295.1,306.41,250.14,250.01,801.08,800.88,800.2,455.94,457.99,452.27,456.46,65.68,2.47
41,2017-03-31 05:00:00,54.3,20.14,2230.01,559.3,399.79,9.47,1.77,200.95,195.24,200.06,295.1,306.41,250.4,250.14,800.1,800.11,799.72,429.64,438.12,454.5,440.83,65.18,1.79
42,2017-03-31 06:00:00,54.34,20.08,2234.99,554.46,399.55,9.72,1.76,200.71,195.26,199.96,295.1,306.41,250.45,249.84,799.83,800.82,800.96,424.78,457.81,455.79,459.92,66.49,1.92
43,2017-03-31 07:00:00,59.73,9.23,2138.11,569.85,399.84,9.67,1.78,200.46,194.98,199.94,295.1,306.41,250.2,250.0,800.86,800.3,801.12,442.84,453.32,457.81,451.85,66.35,2.26
44,2017-03-31 08:00:00,59.73,9.23,2127.97,549.87,399.51,9.34,1.76,200.04,195.71,199.95,295.1,306.41,250.06,250.32,799.5,801.09,800.48,416.72,441.13,449.6,441.81,66.93,1.03
45,2017-03-31 09:00:00,59.73,9.23,2247.12,562.41,399.69,9.33,1.77,178.94,179.07,178.86,295.1,306.41,250.31,250.12,801.65,800.81,800.83,468.82,451.34,459.76,459.93,67.44,1.07
46,2017-03-31 10:00:00,59.73,9.23,2014.1,563.44,399.61,9.68,1.77,177.41,178.33,177.21,295.1,306.41,250.02,250.31,800.02,800.29,800.53,451.89,444.83,457.24,448.17,67.44,1.07
47,2017-03-31 11:00:00,59.73,9.23,1402.09,561.73,399.59,9.83,1.77,177.34,178.8,177.74,295.1,306.41,250.01,250.19,800.72,801.2,800.9,458.92,445.42,450.69,446.76,67.44,1.07
48,2017-03-31 12:00:00,59.73,9.23,1655.28,530.27,399.93,9.65,1.73,177.26,179.26,178.26,295.1,306.41,250.62,249.98,801.8,800.65,799.37,461.87,449.05,454.43,453.12,66.9,1.45
49,2017-03-31 13:00:00,59.73,9.23,1486.28,504.26,400.0,9.45,1.69,177.18,179.73,178.79,295.1,306.41,250.63,250.06,799.61,800.74,798.97,451.39,447.42,450.45,450.62,65.91,1.71
50,2017-03-31 14:00:00,59.73,9.23,2252.61,535.06,400.62,9.42,1.74,177.11,180.19,179.31,295.1,306.41,250.02,250.11,802.08,801.19,801.15,452.58,452.17,450.28,451.34,65.46,1.75
51,2017-03-31 15:00:00,59.73,9.23,1737.49,556.04,400.23,9.69,1.76,177.03,180.66,179.84,295.1,306.41,249.62,250.03,799.4,800.65,800.55,449.91,451.56,451.7,453.01,65.66,2.0
52,2017-03-31 16:00:00,59.73,9.23,1408.51,546.78,399.9,9.62,1.75,176.95,181.13,180.36,295.1,306.41,250.44,250.17,799.33,799.48,800.46,454.37,453.8,449.07,452.72,65.09,2.28
53,2017-03-31 17:00:00,59.73,9.23,830.37,493.79,399.87,9.59,1.68,176.88,181.59,180.89,295.1,306.41,250.31,250.03,799.48,801.08,801.3,445.97,444.11,447.62,449.02,64.03,3.12
54,2017-03-31 18:00:00,59.73,9.23,2217.3,489.01,400.36,9.55,1.67,176.8,182.06,181.41,295.1,306.41,249.82,249.98,799.6,801.16,800.6,455.35,457.15,454.11,454.35,64.03,3.12
55,2017-03-31 19:00:00,59.73,9.23,2478.71,547.63,399.49,9.54,1.75,176.73,182.53,181.94,295.1,306.41,249.71,249.93,800.25,800.36,799.97,448.64,446.75,452.51,448.49,64.03,3.12
56,2017-03-31 20:00:00,59.73,9.23,2141.1,553.0,399.8,9.69,1.76,176.65,182.99,182.46,295.1,306.41,250.49,250.12,800.1,799.62,799.13,451.63,449.88,456.19,448.11,64.03,3.12
57,2017-03-31 21:00:00,59.73,9.23,1896.0,571.58,400.45,9.81,1.78,176.57,183.46,182.99,295.1,306.41,249.9,249.92,800.62,800.62,800.25,451.02,454.23,465.91,453.01,64.03,3.12
58,2017-03-31 22:00:00,59.73,9.23,2152.13,573.34,400.44,9.56,1.78,176.5,183.93,183.51,295.1,306.41,249.63,249.85,801.15,800.34,800.17,449.19,446.32,454.52,446.72,64.03,3.12
59,2017-03-31 23:00:00,59.73,9.23,2011.22,558.5,398.89,9.36,1.77,176.42,184.39,184.04,295.1,306.41,250.06,250.05,799.79,799.85,801.23,450.7,450.0,451.36,451.89,64.03,3.12
60,2017-04-01 00:00:00,59.73,9.23,2339.55,555.54,399.99,9.61,1.76,176.35,184.86,184.56,295.1,306.41,249.8,250.04,801.13,799.13,799.98,448.32,451.86,451.41,449.52,64.03,3.12
61,2017-04-01 01:00:00,59.73,9.23,1751.2,575.29,399.44,9.83,1.79,176.27,185.33,185.09,295.1,306.41,249.86,250.43,799.92,800.29,798.96,450.8,454.74,455.68,456.95,64.03,3.12
62,2017-04-01 02:00:00,59.73,9.23,1876.6,566.08,399.96,9.63,1.77,176.19,185.79,185.61,295.1,306.41,250.4,249.72,798.94,799.77,798.75,449.28,452.41,455.27,452.45,64.03,3.12
63,2017-04-01 03:00:00,59.73,9.23,1546.64,566.93,399.52,9.35,1.78,176.12,186.26,186.14,295.1,306.41,250.26,250.32,800.34,800.82,799.69,450.45,449.68,453.29,447.48,64.03,3.12
64,2017-04-01 04:00:00,59.73,9.23,2370.52,571.33,399.89,9.36,1.78,176.04,186.72,186.66,295.1,306.41,250.4,250.11,799.48,800.45,799.52,450.73,450.29,462.57,449.58,64.03,3.12
65,2017-04-01 05:00:00,59.73,9.23,2257.56,575.44,400.58,9.61,1.79,175.97,187.19,187.19,295.1,306.41,250.07,250.09,800.57,799.76,800.47,450.9,452.11,465.32,450.17,64.03,3.12
66,2017-04-01 06:00:00,59.73,9.23,2274.37,576.28,399.46,9.61,1.79,175.89,187.66,187.71,295.1,306.41,250.11,250.31,801.15,801.49,800.78,448.14,450.49,453.35,448.17,64.03,3.12
